Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
81.4123,-19.2636,0.200475,14,1,0.0846704,0.934965,1,0.131819,0.217355,0.992116
152.661,150.829,1.6563,19,1,0.644288,0.432597,0.93185,0.910198,0.00973669,0.97036
121.984,-111.848,0.483223,14,1,0.292334,0.771401,0.927115,0.865169,0.0110138,0.769989
49.7534,-143.432,0.0747145,7,1,0.0322689,0.479712,1,0.904837,0.0475671,0.751774
2.38776,-68.6266,1.84847,29,2,0.375819,0.302284,0.903178,0.409639,0.0895994,0.990027
115.149,103.494,1.96403,31,3,0.397325,0.357989,0.639504,0.861342,0.0187011,0.859945
140.399,39.4653,0.169153,4,1,0.137985,1,1,0.874781,0.0170491,0.919343
122.194,-124.726,0.423136,8,1,0.157521,0.390181,0.983493,0.951714,0.00521012,0.54347
79.4039,101.276,0.997215,16,3,0.569881,0.769453,0.808434,0.920654,0.0124343,0.572602
43.2471,-133.282,1.22318,16,2,0.384457,0.451749,0.750996,0.895097,0.0166341,0.766441
35.2794,-58.5595,0.606362,7,1,0.485827,0.885006,1,0.697758,0.107077,0.994783
94.4484,137.238,0.834481,14,1,0.524106,0.665948,0.990649,0.94066,0.0131268,0.542834
62.657,-103.589,0.368681,3,1,0.307611,0.834355,1,0.993345,0.00136306,0.0227386
52.9984,158.494,0.539807,8,1,0.313237,0.77562,0.777513,0.910772,0.0131661,0.863393
125.833,-88.7823,0.339846,10,1,0.151628,0.495146,0.964648,0.927704,0.0129255,0.95775
26.278,-143.351,0.468292,3,1,0.327578,0.725553,1,0.874376,0.03829,0.976699
129.195,-129.654,0.257684,5,1,0.206363,0.830311,1,0.926648,0.00666195,0.576877
79.6832,-30.9538,0.534396,9,1,0.349517,0.725291,0.971637,0.398113,0.34065,0.996202
12.8766,162.738,2.01118,38,1,0.8019,0.528496,0.825289,0.868126,0.00907636,0.838049
89.6341,-172.232,0.627987,8,1,0.447079,0.718834,0.990386,0.983452,0.00165468,0.179996
21.5936,-178.698,0.922386,8,1,0.512619,0.585808,0.990412,0.965791,0.00639586,0.337219
115.65,53.7201,0.394219,6,1,0.322235,0.89504,0.913256,0.975286,0.00423995,0.170851
158.668,173.018,0.0423167,3,1,0.0287357,0.838513,1,0.509716,0.190377,0.657068
155.683,-15.6737,1.26648,27,2,0.370437,0.585138,0.667102,0.843205,0.0131755,0.950773
3.4416,80.3011,1.32593,3,1,1.18364,0.899192,1,0.977595,0.0102655,0.0302315
14.8913,-109.951,0.471241,14,1,0.23861,0.785647,0.768705,0.802275,0.0627702,0.993081
24.9322,126.623,1.62282,14,1,0.54949,0.363877,0.934416,0.961061,0.00448151,0.470331
56.0757,136.179,0.217141,11,1,0.0664869,0.76093,0.857931,0.738109,0.0388851,0.974632
21.525,-160.793,1.38034,28,1,0.394932,0.451245,0.847232,0.478499,0.165642,0.997575
152.526,-83.6612,0.104571,4,1,0.0614446,0.641786,1,0.970673,0.0101467,0.326781
