Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
66.8797,167.325,3.39692,22,1,2.86462,0.87531,0.971834,0.981537,0.00175905,0.257077
103.533,82.4043,4.9555,27,1,3.73446,0.788739,0.97281,0.972875,0.00149989,0.367822
67.2098,-28.8346,4.87235,27,1,3.64385,0.780471,0.969194,0.974991,0.00223068,0.76498
12.2916,-56.573,1.90037,14,1,1.41854,0.770011,0.972077,0.979116,0.00235674,0.265988
32.5316,-22.5051,3.06038,23,1,2.30972,0.79463,0.970027,0.969442,0.00486192,0.392708
20.8487,-3.74408,2.99401,18,1,1.82116,0.638835,0.95215,0.973624,0.000766201,0.278062
151.681,-110.837,3.36743,24,1,0.976083,0.301348,0.980612,0.951482,0.00278027,0.82818
120.874,-37.5951,1.7586,13,1,1.00649,0.594806,0.971865,0.976667,0.00241323,0.221308
110.219,-96.1583,2.26967,16,1,1.8411,0.832126,0.99322,0.978821,0.00387201,0.677632
100.259,63.7665,3.45537,24,1,2.7151,0.818187,0.970773,0.976937,0.00303298,0.293503
73.213,16.7869,2.51566,14,1,1.92173,0.781603,0.9841,0.983083,0.0018462,0.212259
47.0274,-23.1882,3.99696,24,1,2.9279,0.758709,0.969597,0.981607,0.00169806,0.209482
100.637,93.038,1.31479,11,1,1.10405,0.84721,0.99115,0.988879,0.000585422,0.161342
160.849,-151.761,0.874818,5,1,0.638562,0.7346,1,0.981611,0.00195548,0.633857
131.029,14.7014,1.93613,21,1,1.46208,0.796724,0.962541,0.973127,0.00600887,0.347773
35.9134,142.805,1.46952,14,1,1.209,0.851638,0.977258,0.97251,0.00184847,0.946972
119.536,136.093,1.23087,12,1,0.984117,0.811144,0.995593,0.984328,0.00304833,0.212454
32.626,-158.999,4.20183,30,1,3.49209,0.876664,0.960925,0.972579,0.0022641,0.889213
126.911,118.636,2.96371,21,1,1.9527,0.695434,0.961919,0.967832,0.000982888,0.835551
